,c_0,c_18,c_37,c_45
variant_6527,677.0,63.0,50.0,47.0
variant_6528,1069.0,195.0,216.0,219.0
variant_6529,7.0,0.0,0.0,0.0
variant_6530,397.0,54.0,42.0,81.0
variant_6531,659.0,141.0,155.0,171.0
variant_6532,580.0,45.0,7.0,8.0
variant_6533,598.0,142.0,164.0,119.0
variant_6534,454.0,87.0,95.0,41.0
variant_6535,924.0,189.0,349.0,208.0
variant_6536,474.0,21.0,0.0,0.0
variant_6537,371.0,20.0,12.0,4.0
variant_6538,3383.0,502.0,593.0,575.0
variant_6539,294.0,0.0,0.0,0.0
variant_6540,737.0,100.0,176.0,185.0
variant_6541,325.0,31.0,50.0,24.0
variant_6542,215.0,2.0,0.0,0.0
variant_6543,1227.0,90.0,121.0,83.0
variant_6544,306.0,36.0,48.0,28.0
variant_6545,930.0,117.0,76.0,10.0
variant_6546,124.0,9.0,0.0,0.0
variant_6547,2416.0,332.0,338.0,269.0
variant_6548,174.0,58.0,101.0,11.0
variant_6549,2731.0,559.0,902.0,628.0
variant_6550,77.0,20.0,8.0,4.0
variant_6551,0.0,0.0,7.0,0.0
variant_6552,69.0,28.0,6.0,0.0
variant_6553,484.0,59.0,91.0,79.0
variant_6554,167.0,39.0,2.0,8.0
variant_6555,460.0,132.0,270.0,113.0
variant_6556,2619.0,368.0,446.0,368.0
variant_6557,248.0,18.0,11.0,7.0
variant_6558,57.0,13.0,0.0,0.0
variant_6559,168.0,2.0,0.0,0.0
variant_6560,446.0,88.0,167.0,116.0
variant_6561,617.0,95.0,219.0,123.0
variant_6562,576.0,128.0,129.0,109.0
variant_6563,617.0,149.0,158.0,111.0
variant_6564,192.0,19.0,2.0,19.0
variant_6565,370.0,48.0,49.0,39.0
variant_6566,196.0,26.0,28.0,25.0
variant_6567,52.0,1.0,0.0,0.0
variant_6568,495.0,46.0,25.0,46.0
variant_6569,309.0,26.0,9.0,8.0
variant_6570,583.0,178.0,335.0,176.0
variant_6571,156.0,13.0,17.0,6.0
variant_6572,3322.0,420.0,367.0,314.0
variant_6573,123.0,4.0,0.0,0.0
variant_6574,82.0,1.0,0.0,0.0
variant_6575,328.0,18.0,7.0,1.0
variant_6576,545.0,60.0,58.0,81.0
variant_6577,156.0,0.0,0.0,0.0
variant_6578,11.0,1.0,0.0,0.0
variant_6579,480.0,34.0,37.0,4.0
variant_6580,444.0,43.0,61.0,39.0
variant_6581,783.0,72.0,54.0,59.0
variant_6582,87.0,7.0,8.0,1.0
variant_6583,851.0,135.0,214.0,124.0
variant_6584,305.0,18.0,0.0,11.0
variant_6585,339.0,24.0,13.0,10.0
variant_6586,32.0,0.0,0.0,0.0
variant_6587,209.0,0.0,0.0,0.0
variant_6588,396.0,71.0,116.0,56.0
variant_6589,605.0,104.0,59.0,79.0
variant_6590,138.0,25.0,2.0,18.0
variant_6591,69.0,10.0,5.0,6.0
variant_6592,462.0,96.0,128.0,120.0
variant_6593,278.0,2.0,5.0,9.0
variant_6594,626.0,39.0,19.0,23.0
variant_6595,325.0,24.0,29.0,0.0
variant_6596,518.0,41.0,18.0,0.0
variant_6597,362.0,94.0,152.0,63.0
variant_6598,409.0,24.0,0.0,8.0
variant_6599,731.0,126.0,116.0,169.0
variant_6600,156.0,14.0,0.0,0.0
variant_6601,336.0,30.0,5.0,15.0
variant_6602,185.0,15.0,12.0,0.0
variant_6603,20.0,4.0,7.0,0.0
variant_6604,547.0,107.0,69.0,103.0
variant_6605,272.0,15.0,8.0,0.0
variant_6606,891.0,65.0,101.0,97.0
variant_6607,833.0,96.0,82.0,92.0
variant_6608,2167.0,246.0,213.0,161.0
variant_6609,114.0,2.0,0.0,0.0
variant_6610,175.0,35.0,51.0,41.0
variant_6611,314.0,50.0,121.0,72.0
variant_6612,428.0,68.0,79.0,102.0
variant_6613,1286.0,260.0,314.0,211.0
variant_6614,166.0,8.0,0.0,0.0
variant_6615,6702.0,957.0,985.0,860.0
variant_6616,4.0,0.0,0.0,0.0
variant_6617,163.0,48.0,21.0,6.0
variant_6618,310.0,30.0,8.0,0.0
variant_6619,147.0,6.0,2.0,0.0
variant_6620,162.0,9.0,8.0,0.0
variant_6621,898.0,232.0,148.0,170.0
variant_6622,1451.0,181.0,381.0,223.0
variant_6623,949.0,107.0,65.0,67.0
variant_6624,42.0,15.0,0.0,0.0
variant_6625,843.0,115.0,58.0,79.0
variant_6626,1317.0,245.0,225.0,263.0
variant_6627,686.0,89.0,87.0,72.0
variant_6628,603.0,143.0,307.0,193.0
variant_6629,118.0,8.0,11.0,3.0
variant_6630,196.0,17.0,0.0,4.0
variant_6631,126.0,5.0,27.0,6.0
variant_6632,249.0,22.0,16.0,0.0
variant_6633,280.0,100.0,58.0,80.0
variant_6634,50.0,0.0,0.0,0.0
variant_6635,154.0,20.0,3.0,3.0
variant_6636,265.0,49.0,93.0,74.0
variant_6637,434.0,33.0,15.0,6.0
variant_6638,513.0,68.0,40.0,28.0
variant_6639,332.0,28.0,2.0,0.0
variant_6640,64.0,2.0,0.0,1.0
variant_6641,181.0,15.0,15.0,2.0
variant_6642,369.0,99.0,143.0,93.0
variant_6643,2391.0,319.0,274.0,221.0
variant_6644,971.0,107.0,61.0,79.0
variant_6645,45.0,3.0,0.0,0.0
variant_6646,416.0,0.0,0.0,0.0
variant_6647,109.0,9.0,0.0,0.0
variant_6648,520.0,128.0,228.0,204.0
variant_6649,39.0,4.0,0.0,0.0
variant_6650,355.0,27.0,0.0,8.0
variant_6651,25.0,3.0,11.0,11.0
variant_6652,346.0,23.0,24.0,4.0
variant_6653,82.0,13.0,0.0,3.0
variant_6654,281.0,64.0,91.0,57.0
variant_6655,61.0,3.0,0.0,5.0
variant_6656,280.0,41.0,53.0,18.0
variant_6657,367.0,85.0,48.0,22.0
variant_6658,779.0,86.0,88.0,52.0
variant_6659,210.0,5.0,4.0,5.0
variant_6660,328.0,6.0,13.0,21.0
variant_6661,195.0,23.0,2.0,0.0
variant_6662,22.0,0.0,7.0,3.0
variant_6663,999.0,187.0,100.0,119.0
variant_6664,522.0,61.0,19.0,12.0
variant_6665,585.0,137.0,107.0,88.0
variant_6666,51.0,6.0,0.0,1.0
variant_6667,178.0,30.0,0.0,0.0
variant_6668,813.0,106.0,204.0,218.0
variant_6669,1266.0,177.0,112.0,94.0
variant_6670,80.0,16.0,3.0,0.0
variant_6671,1061.0,136.0,135.0,71.0
variant_6672,251.0,15.0,0.0,3.0
variant_6673,3640.0,909.0,1231.0,821.0
variant_6674,137.0,5.0,1.0,4.0
variant_6675,564.0,98.0,110.0,115.0
variant_6676,141.0,6.0,0.0,0.0
variant_6677,347.0,40.0,26.0,8.0
variant_6678,496.0,99.0,153.0,222.0
variant_6679,567.0,144.0,172.0,180.0
variant_6680,226.0,23.0,6.0,3.0
variant_6681,81.0,3.0,0.0,0.0
variant_6682,374.0,55.0,34.0,38.0
variant_6683,364.0,6.0,0.0,0.0
variant_6684,136.0,4.0,0.0,0.0
variant_6685,358.0,61.0,35.0,11.0
variant_6686,670.0,80.0,50.0,74.0
variant_6687,248.0,59.0,37.0,16.0
variant_6688,744.0,126.0,155.0,59.0
variant_6689,222.0,8.0,2.0,0.0
variant_6690,2006.0,310.0,313.0,260.0
variant_6691,240.0,0.0,24.0,0.0
variant_6692,662.0,189.0,359.0,355.0
variant_6693,1138.0,94.0,52.0,53.0
variant_6694,54.0,0.0,1.0,0.0
variant_6695,302.0,22.0,19.0,0.0
variant_6696,53.0,0.0,0.0,0.0
variant_6697,92.0,15.0,0.0,1.0
variant_6698,1186.0,252.0,262.0,298.0
variant_6699,718.0,155.0,173.0,185.0
variant_6700,674.0,74.0,24.0,39.0
variant_6701,33.0,4.0,0.0,0.0
variant_6702,1409.0,273.0,274.0,216.0
variant_6703,288.0,61.0,60.0,31.0
variant_6704,1630.0,129.0,92.0,186.0
variant_6705,146.0,82.0,72.0,16.0
variant_6706,392.0,96.0,173.0,87.0
variant_6707,2516.0,415.0,366.0,324.0
variant_6708,270.0,6.0,0.0,0.0
variant_6709,168.0,4.0,2.0,0.0
variant_6710,245.0,14.0,43.0,17.0
variant_6711,710.0,69.0,64.0,28.0
variant_6712,151.0,5.0,2.0,6.0
variant_6713,330.0,37.0,50.0,15.0
variant_6714,105.0,0.0,0.0,0.0
variant_6715,459.0,110.0,123.0,39.0
variant_6716,321.0,46.0,18.0,21.0
variant_6717,1772.0,249.0,367.0,320.0
variant_6718,54.0,3.0,0.0,0.0
variant_6719,310.0,59.0,39.0,40.0
variant_6720,212.0,35.0,34.0,54.0
variant_6721,871.0,169.0,102.0,93.0
variant_6722,961.0,151.0,187.0,129.0
variant_6723,226.0,8.0,2.0,0.0
variant_6724,901.0,171.0,239.0,276.0
variant_6725,372.0,41.0,29.0,43.0
variant_6726,398.0,37.0,109.0,39.0
variant_6727,1453.0,11.0,0.0,0.0
variant_6728,715.0,2.0,0.0,0.0
variant_6729,506.0,4.0,0.0,0.0
variant_6730,149.0,0.0,0.0,0.0
variant_6731,325.0,8.0,0.0,0.0
variant_6732,26.0,0.0,0.0,0.0
variant_6733,56.0,2.0,0.0,0.0
variant_6734,347.0,0.0,0.0,0.0
variant_6735,190.0,39.0,64.0,45.0
variant_6736,1758.0,192.0,326.0,289.0
variant_6737,545.0,132.0,75.0,69.0
variant_6738,476.0,75.0,71.0,42.0
variant_6739,121.0,9.0,6.0,0.0
variant_6740,1520.0,254.0,232.0,220.0
variant_6741,95.0,10.0,2.0,0.0
variant_6742,666.0,56.0,76.0,21.0
variant_6743,793.0,72.0,51.0,43.0
variant_6744,404.0,22.0,29.0,21.0
variant_6745,696.0,42.0,46.0,9.0
variant_6746,210.0,20.0,4.0,15.0
variant_6747,269.0,31.0,2.0,17.0
variant_6748,105.0,10.0,0.0,0.0
variant_6749,3.0,1.0,0.0,0.0
variant_6750,918.0,250.0,371.0,293.0
variant_6751,4356.0,514.0,567.0,500.0
variant_6752,119.0,5.0,1.0,9.0
variant_6753,86.0,0.0,3.0,14.0
variant_6754,3945.0,387.0,375.0,347.0
variant_6755,406.0,6.0,1.0,3.0
variant_6756,138.0,35.0,85.0,61.0
variant_6757,195.0,0.0,0.0,0.0
variant_6758,1115.0,104.0,86.0,62.0
variant_6759,43.0,2.0,0.0,0.0
variant_6760,134.0,6.0,0.0,0.0
variant_6761,163.0,4.0,3.0,3.0
variant_6762,753.0,158.0,251.0,195.0
variant_6763,265.0,18.0,34.0,12.0
variant_6764,209.0,44.0,65.0,114.0
variant_6765,1137.0,178.0,96.0,95.0
variant_6766,504.0,51.0,14.0,3.0
variant_6767,109.0,28.0,11.0,0.0
variant_6768,491.0,95.0,179.0,85.0
variant_6769,3910.0,403.0,302.0,248.0
variant_6770,51.0,0.0,0.0,0.0
variant_6771,103.0,10.0,10.0,0.0
variant_6772,62.0,3.0,0.0,1.0
variant_6773,516.0,45.0,18.0,36.0
variant_6774,87.0,12.0,0.0,1.0
variant_6775,360.0,22.0,27.0,18.0
variant_6776,1333.0,49.0,21.0,8.0
variant_6777,1102.0,418.0,453.0,257.0
variant_6778,1425.0,270.0,254.0,262.0
variant_6779,520.0,44.0,36.0,23.0
variant_6780,1140.0,86.0,198.0,223.0
variant_6781,515.0,27.0,78.0,80.0
variant_6782,377.0,30.0,0.0,25.0
variant_6783,2967.0,464.0,289.0,224.0
variant_6784,958.0,131.0,156.0,177.0
variant_6785,94.0,30.0,11.0,0.0
variant_6786,70.0,8.0,2.0,10.0
variant_6787,2015.0,166.0,89.0,89.0
variant_6788,116.0,8.0,21.0,13.0
variant_6789,403.0,87.0,64.0,49.0
variant_6790,374.0,14.0,27.0,19.0
variant_6791,303.0,99.0,100.0,116.0
variant_6792,1280.0,233.0,211.0,214.0
variant_6793,85.0,4.0,2.0,0.0
variant_6794,103.0,7.0,0.0,6.0
variant_6795,1098.0,254.0,473.0,292.0
variant_6796,2425.0,362.0,441.0,426.0
variant_6797,1584.0,247.0,252.0,288.0
variant_6798,273.0,44.0,65.0,59.0
variant_6799,1113.0,206.0,349.0,226.0
variant_6800,907.0,186.0,454.0,315.0
variant_6801,488.0,56.0,65.0,19.0
variant_6802,574.0,52.0,30.0,25.0
variant_6803,109.0,3.0,20.0,2.0
variant_6804,3256.0,59.0,1.0,5.0
variant_6805,724.0,0.0,0.0,0.0
variant_6806,125.0,0.0,0.0,0.0
variant_6807,127.0,1.0,0.0,0.0
variant_6808,293.0,0.0,0.0,0.0
variant_6809,330.0,1.0,0.0,1.0
variant_6810,228.0,6.0,0.0,1.0
variant_6811,602.0,5.0,0.0,0.0
variant_6812,92.0,0.0,0.0,0.0
variant_6813,387.0,4.0,0.0,0.0
variant_6814,49.0,2.0,0.0,0.0
variant_6815,172.0,0.0,0.0,0.0
variant_6816,59.0,4.0,0.0,0.0
variant_6817,207.0,2.0,0.0,0.0
variant_6818,22.0,0.0,0.0,0.0
variant_6819,57.0,9.0,6.0,4.0
variant_6820,591.0,120.0,96.0,91.0
variant_6821,165.0,17.0,0.0,1.0
variant_6822,373.0,19.0,7.0,4.0
variant_6823,276.0,41.0,15.0,14.0
variant_6824,350.0,31.0,3.0,8.0
variant_6825,390.0,56.0,24.0,54.0
variant_6826,832.0,112.0,94.0,67.0
variant_6827,1010.0,103.0,128.0,100.0
variant_6828,906.0,176.0,311.0,216.0
variant_6829,56.0,7.0,3.0,9.0
variant_6830,691.0,133.0,162.0,149.0
variant_6831,443.0,59.0,15.0,8.0
variant_6832,307.0,22.0,20.0,0.0
variant_6833,1040.0,135.0,139.0,81.0
variant_6834,89.0,5.0,18.0,9.0
variant_6835,16.0,0.0,0.0,0.0
variant_6836,20.0,7.0,37.0,27.0
variant_6837,925.0,99.0,74.0,50.0
variant_6838,458.0,75.0,106.0,105.0
variant_6839,170.0,18.0,43.0,42.0
variant_6840,1177.0,205.0,227.0,236.0
variant_6841,608.0,67.0,65.0,46.0
variant_6842,66.0,19.0,59.0,33.0
variant_6843,161.0,11.0,0.0,0.0
variant_6844,82.0,5.0,16.0,6.0
variant_6845,736.0,121.0,262.0,323.0
variant_6846,1621.0,398.0,560.0,533.0
variant_6847,201.0,22.0,12.0,57.0
variant_6848,470.0,29.0,39.0,14.0
variant_6849,165.0,36.0,37.0,22.0
variant_6850,422.0,0.0,0.0,0.0
variant_6851,127.0,12.0,4.0,3.0
variant_6852,3425.0,586.0,525.0,449.0
variant_6853,815.0,122.0,55.0,38.0
variant_6854,1773.0,298.0,503.0,317.0
variant_6855,1036.0,139.0,264.0,219.0
variant_6856,681.0,94.0,36.0,14.0
variant_6857,346.0,29.0,9.0,4.0
variant_6858,395.0,50.0,23.0,21.0
variant_6859,167.0,29.0,0.0,6.0
variant_6860,278.0,107.0,29.0,35.0
variant_6861,99.0,6.0,3.0,0.0
variant_6862,414.0,0.0,0.0,0.0
variant_6863,190.0,32.0,49.0,88.0
variant_6864,1665.0,273.0,232.0,206.0
variant_6865,521.0,20.0,8.0,7.0
variant_6866,984.0,161.0,157.0,149.0
variant_6867,144.0,0.0,0.0,0.0
variant_6868,145.0,8.0,23.0,8.0
variant_6869,8.0,0.0,0.0,0.0
variant_6870,550.0,77.0,72.0,40.0
variant_6871,676.0,171.0,441.0,378.0
variant_6872,926.0,106.0,29.0,50.0
variant_6873,918.0,239.0,451.0,195.0
variant_6874,102.0,3.0,3.0,21.0
variant_6875,746.0,150.0,215.0,176.0
variant_6876,50.0,25.0,47.0,32.0
variant_6877,188.0,15.0,2.0,6.0
variant_6878,1499.0,250.0,622.0,495.0
variant_6879,354.0,55.0,90.0,86.0
variant_6880,593.0,88.0,31.0,29.0
variant_6881,284.0,23.0,1.0,11.0
variant_6882,97.0,0.0,1.0,0.0
variant_6883,167.0,16.0,20.0,0.0
variant_6884,719.0,129.0,67.0,72.0
variant_6885,226.0,18.0,17.0,2.0
variant_6886,762.0,110.0,137.0,157.0
variant_6887,33.0,1.0,0.0,0.0
variant_6888,303.0,10.0,0.0,0.0
variant_6889,123.0,3.0,0.0,0.0
variant_6890,566.0,43.0,85.0,76.0
variant_6891,2235.0,492.0,531.0,474.0
variant_6892,110.0,1.0,0.0,5.0
variant_6893,532.0,83.0,136.0,134.0
variant_6894,504.0,94.0,119.0,86.0
variant_6895,293.0,18.0,3.0,11.0
variant_6896,864.0,162.0,230.0,255.0
variant_6897,252.0,12.0,5.0,4.0
variant_6898,99.0,32.0,40.0,31.0
variant_6899,2522.0,393.0,576.0,368.0
variant_6900,157.0,17.0,10.0,4.0
variant_6901,171.0,12.0,1.0,2.0
variant_6902,147.0,8.0,2.0,0.0
variant_6903,225.0,70.0,124.0,72.0
variant_6904,214.0,29.0,15.0,12.0
variant_6905,392.0,67.0,38.0,74.0
variant_6906,2119.0,496.0,673.0,646.0
variant_6907,1157.0,475.0,1397.0,1206.0
variant_6908,53.0,2.0,0.0,0.0
variant_6909,1127.0,179.0,142.0,103.0
variant_6910,1207.0,221.0,264.0,215.0
variant_6911,224.0,13.0,12.0,9.0
variant_6912,12.0,0.0,0.0,0.0
variant_6913,201.0,10.0,0.0,0.0
variant_6914,546.0,48.0,20.0,9.0
variant_6915,186.0,2.0,0.0,3.0
variant_6916,799.0,120.0,181.0,102.0
variant_6917,575.0,96.0,56.0,58.0
variant_6918,6212.0,934.0,876.0,714.0
variant_6919,740.0,88.0,77.0,55.0
variant_6920,49.0,7.0,10.0,0.0
variant_6921,23.0,21.0,31.0,7.0
variant_6922,243.0,28.0,0.0,0.0
variant_6923,162.0,33.0,59.0,55.0
variant_6924,981.0,189.0,266.0,245.0
variant_6925,746.0,117.0,155.0,165.0
variant_6926,285.0,36.0,25.0,14.0
variant_6927,112.0,16.0,14.0,6.0
variant_6928,264.0,23.0,1.0,8.0
variant_6929,1183.0,66.0,17.0,27.0
variant_6930,211.0,22.0,0.0,1.0
variant_6931,254.0,21.0,22.0,10.0
variant_6932,743.0,198.0,424.0,268.0
variant_6933,108.0,29.0,52.0,42.0
variant_6934,300.0,23.0,35.0,2.0
variant_6935,423.0,7.0,6.0,18.0
variant_6936,7.0,0.0,0.0,0.0
variant_6937,464.0,96.0,224.0,236.0
variant_6938,57.0,14.0,0.0,6.0
variant_6939,176.0,11.0,0.0,8.0
variant_6940,702.0,130.0,167.0,132.0
variant_6941,201.0,13.0,19.0,1.0
variant_6942,6429.0,782.0,775.0,461.0
variant_6943,352.0,183.0,238.0,138.0
variant_6944,160.0,17.0,27.0,8.0
variant_6945,200.0,23.0,11.0,8.0
variant_6946,705.0,50.0,19.0,11.0
variant_6947,67.0,6.0,0.0,0.0
variant_6948,112.0,2.0,18.0,7.0
variant_6949,151.0,12.0,0.0,3.0
variant_6950,219.0,5.0,8.0,11.0
variant_6951,89.0,13.0,0.0,1.0
variant_6952,58.0,0.0,0.0,0.0
variant_6953,237.0,18.0,24.0,20.0
variant_6954,495.0,67.0,130.0,134.0
variant_6955,146.0,14.0,8.0,5.0
variant_6956,478.0,38.0,3.0,25.0
variant_6957,233.0,131.0,134.0,138.0
variant_6958,225.0,48.0,32.0,16.0
variant_6959,272.0,17.0,0.0,18.0
variant_6960,111.0,9.0,3.0,1.0
variant_6961,255.0,67.0,126.0,92.0
variant_6962,32.0,6.0,0.0,11.0
variant_6963,723.0,109.0,135.0,111.0
variant_6964,226.0,16.0,12.0,6.0
variant_6965,1169.0,276.0,409.0,271.0
variant_6966,405.0,98.0,114.0,57.0
variant_6967,1158.0,188.0,294.0,240.0
variant_6968,91.0,20.0,8.0,0.0
variant_6969,244.0,57.0,61.0,42.0
variant_6970,1032.0,114.0,76.0,13.0
variant_6971,415.0,146.0,157.0,129.0
variant_6972,52.0,0.0,0.0,3.0
variant_6973,129.0,2.0,6.0,0.0
variant_6974,448.0,113.0,171.0,104.0
variant_6975,32.0,7.0,0.0,0.0
variant_6976,952.0,197.0,324.0,177.0
variant_6977,61.0,9.0,2.0,0.0
variant_6978,340.0,23.0,5.0,0.0
variant_6979,75.0,20.0,2.0,0.0
variant_6980,959.0,118.0,79.0,42.0
variant_6981,403.0,21.0,12.0,2.0
variant_6982,352.0,24.0,4.0,10.0
variant_6983,450.0,37.0,21.0,1.0
variant_6984,331.0,80.0,44.0,24.0
variant_6985,70.0,38.0,28.0,33.0
variant_6986,291.0,37.0,9.0,13.0
variant_6987,1551.0,133.0,116.0,52.0
variant_6988,129.0,3.0,15.0,1.0
variant_6989,1543.0,196.0,156.0,145.0
variant_6990,19.0,0.0,0.0,0.0
variant_6991,1508.0,221.0,156.0,127.0
variant_6992,167.0,0.0,0.0,4.0
variant_6993,468.0,62.0,39.0,31.0
variant_6994,132.0,15.0,0.0,3.0
variant_6995,57.0,1.0,0.0,0.0
variant_6996,123.0,17.0,5.0,5.0
variant_6997,1441.0,219.0,158.0,113.0
variant_6998,53.0,1.0,0.0,0.0
variant_6999,415.0,82.0,130.0,28.0
variant_7000,101.0,0.0,0.0,0.0
variant_7001,282.0,32.0,11.0,14.0
variant_7002,426.0,15.0,0.0,0.0
variant_7003,343.0,10.0,11.0,1.0
variant_7004,258.0,75.0,57.0,2.0
variant_7005,63.0,0.0,0.0,0.0
variant_7006,1031.0,148.0,268.0,181.0
variant_7007,0.0,1.0,0.0,0.0
variant_7008,104.0,6.0,3.0,1.0
variant_7009,910.0,5.0,0.0,0.0
variant_7010,203.0,1.0,0.0,0.0
variant_7011,221.0,0.0,0.0,0.0
variant_7012,209.0,4.0,0.0,0.0
variant_7013,301.0,35.0,17.0,12.0
variant_7014,573.0,99.0,114.0,36.0
variant_7015,176.0,7.0,0.0,1.0
variant_7016,554.0,83.0,18.0,34.0
variant_7017,1324.0,161.0,255.0,255.0
variant_7018,3437.0,544.0,824.0,650.0
variant_7019,504.0,57.0,12.0,8.0
variant_7020,412.0,53.0,37.0,76.0
variant_7021,117.0,10.0,10.0,0.0
variant_7022,82.0,1.0,0.0,1.0
variant_7023,433.0,25.0,52.0,1.0
variant_7024,1575.0,298.0,277.0,241.0
variant_7025,278.0,101.0,65.0,34.0
variant_7026,284.0,81.0,32.0,28.0
variant_7027,134.0,13.0,2.0,5.0
variant_7028,5207.0,942.0,1293.0,1060.0
variant_7029,765.0,18.0,0.0,1.0
variant_7030,7.0,0.0,0.0,0.0
variant_7031,1398.0,155.0,0.0,17.0
variant_7032,655.0,178.0,380.0,227.0
variant_7033,175.0,47.0,29.0,18.0
variant_7034,412.0,157.0,156.0,111.0
variant_7035,3734.0,729.0,832.0,737.0
variant_7036,774.0,140.0,198.0,176.0
variant_7037,50.0,6.0,0.0,19.0
variant_7038,869.0,12.0,9.0,2.0
variant_7039,1184.0,146.0,101.0,168.0
variant_7040,20.0,2.0,0.0,0.0
variant_7041,465.0,79.0,157.0,166.0
variant_7042,208.0,18.0,4.0,0.0
variant_7043,358.0,44.0,74.0,7.0
variant_7044,5747.0,913.0,1056.0,682.0
variant_7045,392.0,23.0,27.0,7.0
variant_7046,15.0,17.0,0.0,6.0
variant_7047,2117.0,224.0,172.0,158.0
variant_7048,542.0,34.0,71.0,48.0
variant_7049,627.0,63.0,21.0,14.0
variant_7050,432.0,44.0,43.0,54.0
variant_7051,242.0,30.0,4.0,5.0
variant_7052,546.0,127.0,73.0,75.0
variant_7053,122.0,1.0,0.0,0.0
variant_7054,444.0,67.0,53.0,77.0
variant_7055,867.0,129.0,152.0,132.0
variant_7056,405.0,27.0,14.0,25.0
variant_7057,10.0,0.0,0.0,0.0
variant_7058,487.0,99.0,107.0,80.0
variant_7059,325.0,53.0,124.0,61.0
variant_7060,51.0,7.0,11.0,0.0
variant_7061,83.0,31.0,0.0,0.0
variant_7062,3474.0,433.0,490.0,357.0
variant_7063,11.0,0.0,0.0,0.0
variant_7064,923.0,67.0,41.0,17.0
variant_7065,2736.0,189.0,163.0,65.0
variant_7066,1198.0,80.0,24.0,26.0
variant_7067,586.0,30.0,10.0,10.0
variant_7068,812.0,222.0,263.0,254.0
variant_7069,614.0,52.0,47.0,32.0
variant_7070,808.0,74.0,70.0,41.0
variant_7071,175.0,22.0,5.0,0.0
variant_7072,2114.0,441.0,686.0,621.0
variant_7073,67.0,5.0,0.0,0.0
variant_7074,54.0,15.0,0.0,3.0
variant_7075,211.0,1.0,0.0,1.0
variant_7076,1822.0,208.0,208.0,234.0
variant_7077,427.0,33.0,63.0,39.0
variant_7078,831.0,73.0,62.0,68.0
variant_7079,1529.0,258.0,219.0,164.0
variant_7080,1425.0,267.0,317.0,169.0
variant_7081,155.0,10.0,56.0,14.0
variant_7082,527.0,38.0,137.0,86.0
variant_7083,184.0,36.0,21.0,4.0
variant_7084,1592.0,74.0,39.0,4.0
variant_7085,4015.0,716.0,1011.0,672.0
variant_7086,219.0,14.0,6.0,8.0
variant_7087,124.0,10.0,10.0,11.0
variant_7088,118.0,9.0,13.0,0.0
variant_7089,1302.0,157.0,146.0,122.0
variant_7090,35.0,0.0,2.0,0.0
variant_7091,3642.0,632.0,857.0,655.0
variant_7092,212.0,35.0,18.0,34.0
variant_7093,621.0,104.0,39.0,8.0
variant_7094,24.0,0.0,0.0,0.0
variant_7095,362.0,73.0,56.0,88.0
variant_7096,54.0,11.0,29.0,20.0
variant_7097,549.0,44.0,57.0,73.0
variant_7098,157.0,13.0,3.0,6.0
variant_7099,1223.0,177.0,202.0,149.0
variant_7100,631.0,73.0,29.0,58.0
variant_7101,100.0,4.0,1.0,0.0
variant_7102,6569.0,893.0,1009.0,957.0
variant_7103,328.0,34.0,31.0,9.0
variant_7104,2307.0,423.0,407.0,327.0
variant_7105,193.0,40.0,28.0,10.0
variant_7106,2387.0,404.0,682.0,507.0
variant_7107,100.0,0.0,0.0,0.0
variant_7108,138.0,17.0,8.0,1.0
variant_7109,1199.0,169.0,162.0,176.0
variant_7110,86.0,11.0,27.0,30.0
variant_7111,217.0,37.0,90.0,59.0
variant_7112,1678.0,463.0,1256.0,1427.0
variant_7113,647.0,93.0,67.0,87.0
variant_7114,352.0,65.0,45.0,43.0
variant_7115,291.0,18.0,5.0,2.0
variant_7116,906.0,98.0,88.0,65.0
variant_7117,648.0,121.0,164.0,90.0
variant_7118,2669.0,430.0,319.0,240.0
variant_7119,4891.0,873.0,563.0,448.0
variant_7120,309.0,19.0,61.0,14.0
variant_7121,376.0,66.0,34.0,12.0
variant_7122,153.0,15.0,33.0,4.0
variant_7123,397.0,28.0,1.0,3.0
variant_7124,1575.0,254.0,264.0,211.0
variant_7125,1940.0,445.0,744.0,571.0
variant_7126,392.0,105.0,110.0,54.0
variant_7127,699.0,83.0,93.0,82.0
variant_7128,254.0,16.0,12.0,28.0
variant_7129,10.0,0.0,0.0,0.0
variant_7130,112.0,23.0,10.0,4.0
variant_7131,317.0,65.0,96.0,112.0
variant_7132,292.0,19.0,1.0,1.0
variant_7133,4691.0,733.0,916.0,751.0
variant_7134,43.0,12.0,0.0,4.0
variant_7135,766.0,167.0,332.0,172.0
variant_7136,235.0,22.0,1.0,2.0
variant_7137,135.0,17.0,9.0,4.0
variant_7138,218.0,13.0,2.0,7.0
variant_7139,510.0,152.0,300.0,221.0
variant_7140,117.0,18.0,0.0,0.0
variant_7141,108.0,0.0,0.0,0.0
variant_7142,4348.0,788.0,1531.0,1575.0
variant_7143,28.0,36.0,2.0,4.0
variant_7144,507.0,142.0,375.0,332.0
variant_7145,643.0,80.0,154.0,23.0
variant_7146,101.0,0.0,22.0,0.0
variant_7147,6293.0,1400.0,2617.0,2554.0
variant_7148,359.0,78.0,203.0,213.0
variant_7149,280.0,1.0,0.0,0.0
variant_7150,58.0,9.0,4.0,9.0
variant_7151,2714.0,298.0,165.0,119.0
variant_7152,1330.0,182.0,251.0,171.0
variant_7153,1505.0,255.0,349.0,269.0
variant_7154,3811.0,616.0,693.0,661.0
variant_7155,425.0,44.0,25.0,15.0
variant_7156,348.0,89.0,31.0,23.0
